label,amplitude,radial_support,axial_support,axial_concentration,aspect_ratio,composite_score,l3_growth,max_omega1,radial_scale_ratio,axial_scale_ratio,shell_count_change,outer_radial_fraction,diverged
A2_R1.2_Z1.5_c0,2.0,1.2,1.5,0.0,0.7999999999999999,0.0009969259895872273,0.997738654809577,0.0006608202485043593,0.9996831505609436,0.9998350193610874,0.0005150959116182463,7.406971893221002e-15,False
A5_R1.2_Z1.5_c0,5.0,1.2,1.5,0.0,0.7999999999999999,0.0009964777711222172,0.9977379537209813,0.004130098248867389,0.9996844689182349,0.999834911282562,0.0005158579719191092,1.1573380365795332e-13,False
A10_R1.2_Z1.5_c0,10.0,1.2,1.5,0.0,0.7999999999999999,0.0009948799375713024,0.9977354501388892,0.016519988648519668,0.9996891771317586,0.999834526011231,0.0005185830805609637,9.25866652168449e-13,False
A20_R1.2_Z1.5_c0,20.0,1.2,1.5,0.0,0.7999999999999999,0.0009885142603996977,0.9977254388890283,0.06607348504136495,0.9997080075373216,0.9998329913999358,0.0005295131976570389,7.40681229989902e-12,False
A2_R1.2_Z1_c2,2.0,1.2,1.0,2.0,1.2,0.0008626871531836056,0.9968922531882191,0.00041124112983953096,0.9996830546361823,1.000210521733639,0.00054574178936595,1.2932767344236862e-15,False
A5_R1.2_Z1_c2,5.0,1.2,1.0,2.0,1.2,0.0008607354670800982,0.9968918520592485,0.0025702477574007366,0.9996838693935236,1.0002104918174008,0.0005446048606037035,2.0207453803249193e-14,False
A10_R1.2_Z1_c2,10.0,1.2,1.0,2.0,1.2,0.000853766595197869,0.9968904196564423,0.01028085811639883,0.9996867791066394,1.0002103854922444,0.0005405457018372584,1.6165976827294795e-13,False
A2_R0.8_Z1.5_c0,2.0,0.8,1.5,0.0,0.5333333333333333,0.0008475958494739144,0.9958062033298992,0.0006597159593071759,0.9993173731698015,0.9998350309807246,-0.0001267850995589903,3.9360592748229677e-16,False
A5_R0.8_Z1.5_c0,5.0,0.8,1.5,0.0,0.5333333333333333,0.000846788341150817,0.9958056840808355,0.004123205261250499,0.999318227832618,0.9998349838262311,-0.00012465084197654797,6.150084750386396e-15,False
A10_R0.8_Z1.5_c0,10.0,0.8,1.5,0.0,0.5333333333333333,0.0008439042322013757,0.9958038297337558,0.01649254269836821,0.9993212801669507,0.999834815600848,-0.00011702781367550763,4.920045323266345e-14,False
A20_R0.8_Z1.5_c0,20.0,0.8,1.5,0.0,0.5333333333333333,0.0008323666561675935,0.9957964135958445,0.0659657173856861,0.9993334888522811,0.9998341444915513,-8.652948025900109e-05,3.935964322614033e-13,False
A20_R1.2_Z1_c2,20.0,1.2,1.0,2.0,1.2,0.0008259033912408897,0.9968846918372338,0.04112130600792447,0.9996984166172734,1.0002099646876657,0.0005243200085143229,1.2932825509582045e-12,False
