bundle,label,run_id,nr,nz,run_key_extra,step,time,dt,viscosity,max_abs_u_r,max_abs_u_z,dr,dz,advective_cfl_r,advective_cfl_z,viscous_number,first_derivative_coefficient_r,heun_max_amplification,heun_argmax_theta_r,heun_argmax_theta_z,heun_passes,predictor_stage,predictor_max_amplification,predictor_argmax_theta_r,predictor_argmax_theta_z,row_verdict
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1400.0,0.0013999999999999664,1e-06,0.0005,219.86042026874026,177.32884201021142,0.015625,0.0078125,0.014071066897199376,0.02269809177730706,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0006556915274896,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1425.0,0.0014249999999999643,1e-06,0.0005,221.37143925368645,178.0004385386644,0.015625,0.0078125,0.014167772112235933,0.022784056132949045,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0006624201564727,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1450.0,0.0014499999999999622,1e-06,0.0005,222.80609767311856,178.6549253108314,0.015625,0.0078125,0.014259590251079587,0.022867830439786418,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0006689194795075,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1475.0,0.00147499999999996,1e-06,0.0005,224.15076914095857,179.29349140756563,0.015625,0.0078125,0.014345649225021347,0.0229495669001684,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0006751589445269,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1500.0,0.0015,1.000000000041983e-06,0.0005,225.3901861126648,179.917229471904,0.015625,0.0078125,0.014424971911816149,0.023029405373370553,3.27680000013757e-05,0.096,1.0,0.0,0.0,True,euler,1.0006811032954683,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1525.0,0.001524999999999998,1e-06,0.0005,226.507308610518,180.52714295547617,0.015625,0.0078125,0.014496467751073152,0.02310747429830095,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.000686712261991,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1550.0,0.0015499999999999958,1e-06,0.0005,228.85514682842307,181.1241528935924,0.015625,0.0078125,0.014646729397019076,0.023183891570379825,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0006952558840339,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1575.0,0.0015749999999999937,1e-06,0.0005,231.26500622622348,181.70910423337259,0.015625,0.0078125,0.014800960398478303,0.02325876534187169,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0007039430400844,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1600.0,0.0015999999999999916,1e-06,0.0005,233.6136783826619,182.28277170136406,0.015625,0.0078125,0.014951275416490361,0.0233321947777746,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0007124774878822,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1625.0,0.0016249999999999895,1e-06,0.0005,235.879952023459,182.845865152926,0.015625,0.0078125,0.015096316929501375,0.023404270739574528,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0007208069025084,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1650.0,0.0016499999999999874,1e-06,0.0005,238.03908164719246,183.39903430986865,0.015625,0.0078125,0.015234501225420317,0.023475076391663185,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0007288689307967,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1675.0,0.0016749999999999853,1e-06,0.0005,240.06231296270562,183.94287278386474,0.015625,0.0078125,0.01536398802961316,0.023544687716334688,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0007365898894145,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1700.0,0.0016999999999999832,1e-06,0.0005,241.91637438814598,184.47792131822408,0.015625,0.0078125,0.015482647960841343,0.023613173928732682,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0007438833956792,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1725.0,0.001724999999999981,1e-06,0.0005,243.56294541619673,185.0046702682505,0.015625,0.0078125,0.01558802850663659,0.023680597794336063,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0007506489786373,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1750.0,0.001749999999999979,1e-06,0.0005,244.95812009199935,185.52356147228372,0.015625,0.0078125,0.015677319685887956,0.023747015868452313,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0007567707455234,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1775.0,0.001774999999999977,1e-06,0.0005,246.87166055906977,186.0349898109531,0.015625,0.0078125,0.015799786275780464,0.023812478695801997,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0007641915363088,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1800.0,0.0017999999999999748,1e-06,0.0005,250.61386189587697,186.53930485882645,0.015625,0.0078125,0.016039287161336124,0.023877031021929784,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.000776272517605,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1825.0,0.0018249999999999727,1e-06,0.0005,254.24946999161165,187.03681303707714,0.015625,0.0078125,0.016271966079463143,0.023940712068745873,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0007881365664688,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
