checkpoint,nr,nz,physical_time,audit_grid,audit_shape,region,azimuthal_defect_max,azimuthal_defect_rms,curl_defect_max,curl_defect_rms,divergence_max,divergence_rms,azimuthal_defect_max_over_cancellation_scale,azimuthal_defect_max_over_signal_scale,azimuthal_defect_rms_over_cancellation_scale,curl_defect_max_over_curl_term_scale,curl_defect_max_over_gradient_scale,curl_defect_max_over_vorticity_scale,curl_defect_rms_over_curl_term_scale,curl_defect_rms_over_gradient_scale,divergence_max_over_divergence_term_scale,divergence_max_over_gradient_scale,divergence_rms_over_divergence_term_scale,divergence_rms_over_gradient_scale,scale_azimuthal_cancellation_max,scale_azimuthal_signal_max,scale_curl_term_sum_max,scale_divergence_term_sum_max,scale_velocity_gradient_row_sum_max,scale_velocity_max_abs,scale_vorticity_e18b_max_abs
outputs/hou_early_time_v1/checkpoints/checkpoint_nr193_nz384_t000.npz,193,384,0.0,fine,64x64x128,full,5.186961971048731e-13,3.042127710318176e-14,57.48730011604857,3.4016295007660693,5.716159264102885,1.0664851692434378,1.739724445236917e-16,,1.0203398391415386e-17,0.007673735207494746,0.007673735207494746,0.007620047225142714,0.00045406905542941305,0.00045406905542941305,0.0023271752395099456,0.0007630257901840148,0.00043418977052547543,0.0001423605696384005,2981.4847893008523,1.1368683772161603e-13,7491.436511896079,2456.265074952666,7491.436511896079,327.0316739817378,7544.218351608957
outputs/hou_early_time_v1/checkpoints/checkpoint_nr193_nz384_t000.npz,193,384,0.0,fine,64x64x128,interior,5.186961971048731e-13,3.2449362224137526e-14,57.48730011604857,3.6283831279528855,5.716159264102885,1.1375791130806578,1.739724445236917e-16,,1.0883624944384434e-17,0.007673735207494746,0.007673735207494746,0.007620047225142714,0.000484337432772896,0.000484337432772896,0.0023271752395099456,0.0007630257901840148,0.0004631336921576267,0.00015185059784918837,2981.4847893008523,1.1368683772161603e-13,7491.436511896079,2456.265074952666,7491.436511896079,327.0316739817378,7544.218351608957
outputs/hou_early_time_v1/checkpoints/checkpoint_nr65_nz128_t004.npz,65,128,0.002191729,coarse,32x32x64,full,2271.2329768819745,129.28390740092348,18111.130080058127,443.40933572415884,3493.127212990971,79.91691743684491,0.4371086129971734,0.6991433239065398,0.024881247332210293,0.7464335084964822,0.6574415887403228,0.42740448168513073,0.018274706476163534,0.01609594414330696,0.189570495055896,0.12680197726090592,0.004337056361847139,0.002901017492263514,5196.038031162432,3248.5942427243845,24263.55445448693,18426.53421335953,27547.892299846106,383.1719524488573,42374.68453454499
outputs/hou_early_time_v1/checkpoints/checkpoint_nr65_nz128_t004.npz,65,128,0.002191729,coarse,32x32x64,interior,2271.2329768819745,147.71570992607676,18111.130080058127,506.74978191972536,3493.127212990971,91.33327308778286,0.4371086129971734,0.6991433239065398,0.02842852747423608,0.7464335084964822,0.6574415887403228,0.42740448168513073,0.020885224498754955,0.018395228803858663,0.189570495055896,0.12680197726090592,0.0049566170192528545,0.0033154359721485147,5196.038031162432,3248.5942427243845,24263.55445448693,18426.53421335953,27547.892299846106,383.1719524488573,42374.68453454499
outputs/hou_early_time_v1/checkpoints/checkpoint_nr65_nz128_t004.npz,65,128,0.002191729,fine,64x64x128,full,1475.3216404964046,77.6705881813861,11109.452529338378,253.7282797054167,2198.277222310957,26.085036990163307,0.22156995221136153,0.3987020629700073,0.011664892616763591,0.2648355362356557,0.24357581823110114,0.26483553623565526,0.006048566735082519,0.0055630170050600305,0.09262483496878714,0.048197440126698306,0.0010990980672713408,0.0005719169519549636,6658.491486648224,3700.3110280053575,41948.49636588413,23733.129705998785,45609.833562369044,407.5143245546345,41948.496365884195
outputs/hou_early_time_v1/checkpoints/checkpoint_nr65_nz128_t004.npz,65,128,0.002191729,fine,64x64x128,interior,1475.3216404964046,82.83424770950634,11109.452529338378,270.6419989697235,2198.277222310957,27.82397453329913,0.22156995221136153,0.3987020629700073,0.012440392523683131,0.2648355362356557,0.24357581823110114,0.26483553623565526,0.006451768774001425,0.00593385193128659,0.09262483496878714,0.048197440126698306,0.0011723685362182276,0.0006100433253116636,6658.491486648224,3700.3110280053575,41948.49636588413,23733.129705998785,45609.833562369044,407.5143245546345,41948.496365884195
outputs/hou_early_time_v1/checkpoints/checkpoint_nr129_nz256_t004.npz,129,256,0.002191729,coarse,32x32x64,full,2882.7885330450163,144.28908413454778,32319.211761117782,641.5233568053909,4242.129124735069,99.40877257869963,0.5457566417542012,0.7340065957595971,0.02731616457343197,1.5909688558729158,1.1236577253267235,0.6322877754844723,0.0315800920064619,0.02230415398679817,0.17893666598731556,0.14748816270874276,0.004193147783127579,0.00345619305628263,5282.1868072535,3927.4695209812407,20314.169973732907,23707.43358454988,28762.505728085835,335.4847228956091,51114.71866802124
outputs/hou_early_time_v1/checkpoints/checkpoint_nr129_nz256_t004.npz,129,256,0.002191729,coarse,32x32x64,interior,2882.7885330450163,164.9017178309533,32319.211761117782,733.1695143894092,4242.129124735069,113.60976732469065,0.5457566417542012,0.7340065957595971,0.03121845626597496,1.5909688558729158,1.1236577253267235,0.6322877754844723,0.03609153193743229,0.02549046043903916,0.17893666598731556,0.14748816270874276,0.004792157992113076,0.003949925934782298,5282.1868072535,3927.4695209812407,20314.169973732907,23707.43358454988,28762.505728085835,335.4847228956091,51114.71866802124
outputs/hou_early_time_v1/checkpoints/checkpoint_nr129_nz256_t004.npz,129,256,0.002191729,fine,64x64x128,full,2273.761374760794,81.56694782225662,29015.191837476472,371.85548697982347,5795.44073745438,59.11418737943354,0.28239161292516546,0.5379772061447087,0.010130272337541614,0.4462847067649797,0.4009739097128043,0.36308018075124887,0.005719535403911797,0.005138837244214705,0.11946186015388593,0.08008978689585838,0.001218525234878754,0.0008169253874245042,8051.802074459438,4226.5013253167135,65014.98123877301,48512.89549642813,72361.79495633137,540.8046998196343,79914.00626010807
outputs/hou_early_time_v1/checkpoints/checkpoint_nr129_nz256_t004.npz,129,256,0.002191729,fine,64x64x128,interior,2273.761374760794,87.00473465675546,29015.191837476472,396.6458514739368,5795.44073745438,63.0551234266404,0.28239161292516546,0.5379772061447087,0.01080562262362821,0.4462847067649797,0.4009739097128043,0.36308018075124887,0.006100837744107337,0.005481426375800976,0.11946186015388593,0.08008978689585838,0.0012997600489808524,0.0008713869447916911,8051.802074459438,4226.5013253167135,65014.98123877301,48512.89549642813,72361.79495633137,540.8046998196343,79914.00626010807
