label,family,reynolds,nr,nz,integrator,tau,physical_time,steps,accepted_time_step,max_u1,max_omega1,max_speed,distance_to_first_picard,distance_to_second_picard,advection_over_source,viscous_over_source,rhs_change_rate,kinetic_energy,enstrophy,l3_norm,core_l3_fraction,effective_shell_count,radial_scale,axial_scale,shell_flux_upward,outer_band_fraction,relative_divergence,curl_defect,poisson_residual,front_points_radial,front_points_axial
A_Re200_medium,A,200.0,65,129,rk4,0.2,0.26888593707624814,32,0.008739849505673858,0.7197628847427182,0.5494909745208147,0.20370198364443745,0.008158684682913923,0.006327620900501487,0.014833675155155934,0.1595108642386186,0.17217096960483852,0.041451740618639106,0.007031322047646723,0.22634931870472902,0.9967556057040817,1.7335222990412495,0.6062468344630999,0.7404976238308393,0.0,1.8324449984325402e-55,0.00860912169381176,0.07215697818980644,2.0632801023268144e-14,4.5,19.0
A_Re200_medium,A,200.0,65,129,rk4,0.4,0.5377718741524963,63,0.008739849505673858,0.6852621305969276,0.9468979832168715,0.19358798739986655,0.028782087040471766,0.024164106144240863,0.05187096709170115,0.2918099027452016,0.3791708857796544,0.03839197293457184,0.022923781034900094,0.21703312538875674,0.9963415148857546,1.7070860739023483,0.6084747951949844,0.738764454000886,0.0,9.041735548761582e-45,0.007882992453083198,0.060941632726842665,5.134781488891349e-14,4.5,19.0
A_Re200_medium,A,200.0,65,129,rk4,0.7,0.9411007797668685,110,0.008739849505673858,0.6220222648017573,1.3506580858885668,0.17836673813616633,0.07272406612596055,0.0673803709625861,0.13151112873866633,0.4644651467453944,0.6584330303856583,0.03437071998533719,0.05221203830853303,0.20395238239861962,0.9954338837171977,1.6961176122509531,0.6137203621579727,0.7359332745719561,0.0,1.6925347752073717e-36,0.008109371690873326,0.052541257233199724,1.13464793116691e-13,4.5,19.5
A_Re200_medium,A,200.0,65,129,rk4,1.0,1.3444296853812407,157,0.008739849505673858,0.5540870945588491,1.5975016393419985,0.16398849445863484,0.12492241554250193,0.12503959314526433,0.22148406014941452,0.6154663373269011,0.7552375354387959,0.030885208539764328,0.07983642749603055,0.19185643223157486,0.9941887197141069,1.707755475802271,0.6205597871798371,0.7330232901567464,0.0,1.841151891426358e-31,0.008130170524648784,0.04645128934875061,1.2856382625159313e-13,4.5,21.5
A_Re400_medium,A,400.0,65,129,rk4,0.025,0.03361074213453102,2,0.017479699011347716,0.7425946278539245,0.07919327644449868,0.21287604021140907,0.00014449136674890166,0.00010365799443868609,0.000276868765229711,0.012570591921465136,0.0,0.04468768108954323,0.00013448484679303156,0.23557742540402452,0.996989194580844,1.7374182985223363,0.6053806749268138,0.7419284795590971,0.0,0.0,0.009558697256925902,0.09906753085795736,4.676814491233472e-15,4.5,19.0
A_Re400_medium,A,400.0,65,129,rk4,0.05,0.06722148426906203,4,0.017479699011347716,0.7411772605651794,0.15682371605235082,0.21226738437606324,0.0005730878069380778,0.0004133494093043157,0.0010921617535337683,0.02452799053589622,0.020432736329606887,0.0444581721500375,0.0005303972748995813,0.2349411643015236,0.9969779449527864,1.7375210930590055,0.6054162192949162,0.7418369842207325,0.0,0.0,0.009489070751365595,0.09649160043469293,9.950373858202965e-15,4.5,19.0
A_Re400_medium,A,400.0,65,129,rk4,0.1,0.13444296853812407,8,0.017479699011347716,0.7377482372992585,0.3073443490440768,0.21102362448147038,0.0022540627537567825,0.0016449688170688496,0.004253715191233125,0.046851561301331605,0.043087537489626404,0.04400544021702647,0.002062592166427011,0.23366840992683155,0.9969513811276872,1.7206143441564883,0.6055442762998204,0.7416421780176085,0.0,0.0,0.00935373191423808,0.09180299083835299,2.2121193765656244e-14,4.5,19.0
A_Re400_medium,A,400.0,65,129,rk4,0.2,0.26888593707624814,16,0.017479699011347716,0.7286075420984712,0.5891989144853051,0.2084369752931222,0.008722076741465771,0.0065355144936855,0.016191822281833634,0.08654234720616687,0.09550284021432227,0.043123193838303576,0.007798154784978687,0.2311219142584039,0.9968818859733097,1.7186811599070106,0.6060210141928837,0.7412080168954057,0.0,5.988661315841829e-67,0.00910131412072171,0.08399918530188581,2.9976021664879227e-14,4.5,19.0
A_Re400_medium,A,400.0,65,129,rk4,0.4,0.5377718741524963,32,0.017479699011347716,0.7020766736363823,1.0758184531831783,0.20291137744077836,0.03273419609536118,0.026010210642800003,0.06076435734809748,0.16080163986646762,0.2316516651286547,0.041439636440505974,0.027853518663092703,0.22602847621181527,0.996676168718848,1.7092213476421778,0.6077942168901613,0.740183836378768,0.0,1.5218578099709672e-55,0.008674994833844565,0.07299325815033937,4.718447854656915e-14,4.5,19.0
A_Re400_medium,A,400.0,65,129,rk4,0.7,0.9411007797668685,56,0.017479699011347716,0.6462857565955158,1.6191911277817446,0.19388389358075925,0.09178981954202088,0.07967199223177023,0.17333180910567803,0.26468650837801877,0.43439611531168965,0.039081434672434516,0.07180364385649333,0.2184186583918464,0.9961932810771101,1.7053993726565853,0.6122176719912487,0.7383615720763004,0.0,6.680117575901847e-47,0.008208577653525933,0.06340179233124661,9.903189379656396e-14,4.0,19.0
