axial_case,points_per_unit_radius,wall_radius,kr,nr,response_max_abs,response_relative_to_reference_core_max,argmax_r,argmax_z,response_spread_over_abs_mean,oracle_amplitude,oracle_predicted_response,floor_margin,oracle_comparable
Lz1_m1,256,4.0,25.132741228718345,1025,8.673617379884035e-19,8.326117513060715e-17,0.0703125,0.125,,4.787372727713243e-22,7.325632680861878e-22,1.9793710155491983e-05,False
Lz2_m1,64,1.0,3.141592653589793,65,0.0002428087921758263,0.014266159590584325,0.890625,1.0,0.9658055413176831,0.007550669110903467,0.0002428087921758263,4015566938510.2246,True
Lz2_m1,64,1.5,4.71238898038469,97,9.59717613271331e-06,0.0005638792776049483,0.890625,0.0,0.9658055413157883,0.0002983334250830009,9.593584031576418e-06,158658500434.8671,True
Lz2_m1,64,2.0,6.283185307179586,129,3.9782419629667744e-07,2.3374044335489195e-05,0.890625,0.0,0.9658055413462616,1.2362328609805179e-05,3.9753855375451545e-07,6574484634.328375,True
Lz2_m1,64,3.0,9.42477796076938,193,7.136804865614729e-10,4.193208831828083e-08,0.890625,0.0,0.9658055205965655,2.2162907524334856e-08,7.126982692589981e-10,11786589.692755023,True
Lz2_m1,64,4.0,12.566370614359172,257,1.3070405218210124e-12,7.679478370024028e-11,0.890625,0.0,0.9658073282509222,4.056317766503426e-11,1.30440044862222e-12,21572.14847587702,True
Lz2_m1,128,1.0,3.141592653589793,129,0.0002460103245189386,0.014465734985811246,0.8984375,1.0,0.9843797187372173,0.007550669110903467,0.0002460103245189386,4071742418233.742,True
Lz2_m1,128,1.5,4.71238898038469,193,9.720989282925824e-06,0.0005716071268215853,0.8984375,0.0,0.9843797187366554,0.0002983334250830009,9.720079325623334e-06,160878041911.979,True
Lz2_m1,128,2.0,6.283185307179586,257,4.028526100040698e-07,2.368827042546592e-05,0.8984375,0.0,0.9843797187217558,1.2362328609805179e-05,4.0278026072103066e-07,6666457905.829937,True
Lz2_m1,128,3.0,9.42477796076938,385,7.223442030071178e-10,4.24748019404104e-08,0.8984375,0.0,0.9843797466225389,2.2162907524334856e-08,7.220954848188885e-10,11951477.32641515,True
Lz2_m1,128,4.0,12.566370614359172,513,1.3222679787032454e-12,7.775111958227169e-11,0.8984375,0.0,0.9843828339702378,4.056317766503426e-11,1.3215994972530875e-12,21873.93046777402,True
Lz2_m1,256,1.0,3.141592653589793,257,0.0002459914430676534,0.01446750388081801,0.8984375,1.0,0.9852932942396291,0.007550669110903467,0.0002459914430676534,4072240317914.5747,True
Lz2_m1,256,1.5,4.71238898038469,385,9.71956078082677e-06,0.0005716368893278318,0.8984375,0.0,0.9852932942439236,0.0002983334250830009,9.71933330325767e-06,160897714356.22845,True
Lz2_m1,256,2.0,6.283185307179586,513,4.0276743282522884e-07,2.3687975991358094e-05,0.8984375,0.0,0.9852932941969719,1.2362328609805179e-05,4.027493470758968e-07,6667273091.792765,True
Lz2_m1,256,3.0,9.42477796076938,769,7.221022334767679e-10,4.2469025486790284e-08,0.8984375,0.0,0.985293317307311,2.2162907524334856e-08,7.220400635240849e-10,11952938.773661824,True
Lz2_m1,256,4.0,12.566370614359172,1025,1.3216650538751262e-12,7.77311359193139e-11,0.8984375,0.0,0.9853173881441473,4.056317766503426e-11,1.3214980636381582e-12,21876.605249692857,True
Lz4_m1,64,1.0,1.5707963267948966,65,0.0008844198071934727,0.04104252226329436,0.890625,2.0,0.24428934761557014,0.2379372676713324,0.0008844198071934727,11552442998207.361,True
Lz4_m1,64,1.5,2.356194490192345,97,0.00014892753311804893,0.006911154119231425,0.890625,2.0,0.24428934761558027,0.040063091734015344,0.00014891568779345664,1945162219095.8188,True
Lz4_m1,64,2.0,3.141592653589793,129,2.8069852668255587e-05,0.0013026139212328296,0.890625,0.0,0.24428934761554405,0.0075506690703402895,2.806605854025558e-05,366603663592.2218,True
Lz4_m1,64,3.0,4.71238898038469,193,1.109167681665e-06,5.147220686171707e-05,0.890625,0.0,0.24428934761767246,0.0002983333845198232,1.1089139460946585e-06,14484823890.170198,True
Lz4_m1,64,4.0,6.283185307179586,257,4.596545440452293e-08,2.1330799812439994e-06,0.890625,0.0,0.2442893475192336,1.2362288046627513e-05,4.595098749209425e-08,600219668.754696,True
Lz4_m1,128,1.0,1.5707963267948966,129,0.0008876191398776957,0.041225333934889835,0.8984375,2.0,0.24869235630366468,0.2379372676713324,0.0008876191398776957,11603899909212.133,True
Lz4_m1,128,1.5,2.356194490192345,193,0.00014945735321638016,0.006941523699251271,0.8984375,2.0,0.24869235630355446,0.040063091734015344,0.00014945438087029197,1953826363918.9866,True
Lz4_m1,128,2.0,3.141592653589793,257,2.8168537750200128e-05,0.0013082833875907177,0.8984375,2.0,0.24869235630365277,0.0075506690703402895,2.8167585730934512e-05,368236590246.2997,True
Lz4_m1,128,3.0,4.71238898038469,385,1.1129890357052755e-06,5.169260395752985e-05,0.8984375,0.0,0.24869235629206796,0.0002983333845198232,1.1129253721198053e-06,14549342217.068838,True
Lz4_m1,128,4.0,6.283185307179586,513,4.61208419539217e-08,2.1420753851372386e-06,0.8984375,0.0,0.2486923554531142,1.2362288046627513e-05,4.611721228145338e-08,602893168.2113231,True
