snapshot_label,physical_time,field,coarse_nr,coarse_nz,fine_nr,fine_nz,linf,weighted_l2,derivative_linf,derivative_linf_r,derivative_linf_z,argmax_r,argmax_z,field_max_abs,linf_over_field_max_abs
t001,0.0005,u1,193,384,257,512,0.9751368949264361,0.023940757939266716,43.32503481340245,8.24660081492766,43.32503481340245,0.0,0.078125,2034.8937585369072,0.0004792077674008699
t001,0.0005,cartesian_vorticity_magnitude,193,384,257,512,41.409848158481964,1.6467962588926686,16643.18051443246,16643.18051443246,1363.3939589068104,1.0,0.25,9118.077311167695,0.004541510972687603
t002,0.001,u1,65,128,129,256,76.35828501448248,1.116823953151833,6424.476764425479,1391.397817505429,6424.476764425479,0.0,0.9140625,2224.7837972988314,0.03432166537134578
t002,0.001,cartesian_vorticity_magnitude,65,128,129,256,526.0544920667362,14.41694603653204,21482.563756392454,8786.10060457803,21482.563756392454,0.125,0.0,12239.749962354854,0.042979186150427416
t002,0.001,u1,129,256,193,384,15.380839689135996,0.21492274903632785,2384.577621008415,379.67646182624594,2384.577621008415,0.0,0.0859375,2233.3526601604253,0.006886883546654546
t002,0.001,cartesian_vorticity_magnitude,129,256,193,384,104.78718732337984,4.570661908899583,19667.41439375541,19667.41439375541,12127.847693302378,0.125,0.0,12334.686702962212,0.008495326216774917
t002,0.001,u1,193,384,257,512,5.612895709285681,0.07582306645520419,1118.0898163791753,150.09878256050797,1118.0898163791753,0.0,0.08854166666666666,2236.2912135259166,0.002509912696225255
t002,0.001,cartesian_vorticity_magnitude,193,384,257,512,76.80120358049999,3.14510083668089,30839.42187001981,30839.42187001981,7414.1453552742605,1.0,0.75,12368.37326641301,0.006209483003642673
t003,0.0015,u1,65,128,129,256,228.03384993086183,3.974545964851027,15514.330857682013,4820.070041712199,15514.330857682013,0.0625,0.0234375,3104.752849354722,0.07344669962321007
t003,0.0015,cartesian_vorticity_magnitude,65,128,129,256,1809.9305543011378,37.71017846566246,97542.62347208057,29989.09006791294,97542.62347208057,0.09375,0.0,17536.489150481975,0.10320940176622488
t003,0.0015,u1,129,256,193,384,48.50103288161108,0.8044435282441086,6169.930898419741,1513.914656733171,6169.930898419741,0.0625,0.9765625,3149.8425310488424,0.015397923040127688
t003,0.0015,cartesian_vorticity_magnitude,129,256,193,384,405.6134356564439,9.530263365870411,57783.964040515595,28260.666703208917,57783.964040515595,0.0703125,0.09375,17863.270414919174,0.022706560794023518
t003,0.0015,u1,193,384,257,512,17.632223890955686,0.28725144468913383,4039.76976003844,740.1223391117965,4039.76976003844,0.0,0.8984375,3167.1295588061566,0.0055672569004730325
t003,0.0015,cartesian_vorticity_magnitude,193,384,257,512,218.7361891205087,5.099797993139545,47303.07354579416,42870.62259137459,47303.07354579416,0.06770833333333333,0.09635416666666666,17981.92221922385,0.012164227297494671
t004,0.002191729,u1,65,128,129,256,8837.213795786014,47.69363318016148,1131163.365856856,306550.6340735067,1131163.365856856,0.03125,0.0078125,14742.936697949202,0.599420181802402
t004,0.002191729,cartesian_vorticity_magnitude,65,128,129,256,62702.188825616686,329.9595318422535,4520462.524546551,1910138.970120647,4520462.524546551,0.046875,0.0,95911.01941340044,0.6537537522706812
t004,0.002191729,u1,129,256,193,384,5067.686232455302,17.835284631841066,920901.9202065917,323909.7567579197,920901.9202065917,0.03125,0.0078125,18718.097999802423,0.27073724224057344
t004,0.002191729,cartesian_vorticity_magnitude,129,256,193,384,33787.04541628923,146.46048810530007,5903499.3384807175,3226590.181707227,5903499.3384807175,0.03125,0.00390625,118170.54115974967,0.28591766682877395
t004,0.002191729,u1,193,384,257,512,2574.2625912169497,7.649686626008131,474410.58078892156,222664.93613986537,474410.58078892156,0.026041666666666664,0.0078125,20306.548149807422,0.12677007299447704
t004,0.002191729,cartesian_vorticity_magnitude,193,384,257,512,19669.798743949264,72.45025787978437,5045465.580819216,2702126.660613674,5045465.580819216,0.041666666666666664,0.9921875,130577.14701002798,0.15063737563846968
