source_evidence_dir,nr,nz,dr,dz,snapshot_label,physical_time,field,peak_r,peak_z,peak_index_r,peak_index_z,peak_magnitude,subgrid_peak_r,subgrid_peak_r_value,subgrid_peak_r_offset_cells,subgrid_peak_r_refined,subgrid_peak_z,subgrid_peak_z_value,subgrid_peak_z_offset_cells,subgrid_peak_z_refined,fwhm_r,points_per_fwhm_r,fwhm_z,points_per_fwhm_z,front_thickness_10_90,points_per_front,peak_to_axis_cells,min_gradient_length_scale,points_per_gradient_scale_r,points_per_gradient_scale_z,gradient_scale_r,gradient_scale_z,z_tail_fraction,z_tail_fraction_r,r_tail_fraction,any_truncation,truncated_fwhm_r_left,truncated_fwhm_r_right,truncated_fwhm_z_left,truncated_fwhm_z_right,truncated_front_90,truncated_front_10
outputs/hou_early_time_v1,129,256,0.0078125,0.00390625,t000,0.0,u1,0.0,0.9140625,0,234,3265.5332310870513,0.0,3265.5332310870513,0.0,False,0.9153619384269004,3265.9392792135427,0.33265623728649985,True,0.1943661061997356,24.878861593566157,0.22933972497647293,58.71096959397707,0.0,0.0,0,0.00794219177627125,1.01660054736272,2.03320109472544,0.171875,0.0078125,5.604798467076575e-32,0.1953125,3.3531151965771225e-10,True,True,False,False,False,True,True
outputs/hou_early_time_v1,129,256,0.0078125,0.00390625,t000,0.0,cartesian_vorticity_magnitude,0.1640625,0.0,21,0,7554.609461872975,0.16445337263549403,7554.653407329851,0.0500316973432362,True,-2.5131806358213993e-16,7554.609461872975,-6.433742427702782e-14,True,0.2574141100867102,32.94900609109891,0.09122826986775504,23.35443708614529,0.10472582031374474,13.404905000159326,21,0.007949252391916687,1.017504306165336,2.035008612330672,0.0,0.0078125,9.690930400852782e-06,1.0,1.3044541771283101e-06,False,False,False,False,False,False,False
outputs/hou_early_time_v1,129,256,0.0078125,0.00390625,t001,0.0005,u1,0.0,0.04296875,0,11,2032.5478866490107,0.0,2032.5478866490107,0.0,False,0.04464950784913937,2035.4210784134498,0.4302740093796782,True,0.23239916748484002,29.747093438059522,0.3167660940124329,81.09212006718282,0.0,0.0,0,0.003950876721606715,0.5057122203656595,1.011424440731319,0.0,0.99609375,1.109408544471509e-21,0.0,6.735675570473612e-11,True,True,False,False,False,True,True
outputs/hou_early_time_v1,129,256,0.0078125,0.00390625,t001,0.0005,cartesian_vorticity_magnitude,0.1640625,0.0,21,0,9073.113187366776,0.16699858256061703,9076.863222827318,0.37581856775898004,True,-2.8080836267374565e-16,9073.113187366775,-7.188694084447889e-14,True,0.23926991096414,30.62654860340992,0.10352997966455152,26.50367479412519,0.10970122434956167,14.041756716743894,21,0.008082557591927466,1.0345673717667156,2.0691347435334313,0.0,0.0078125,1.775316795125759e-05,0.0,9.666402432735467e-07,False,False,False,False,False,False,False
outputs/hou_early_time_v1,129,256,0.0078125,0.00390625,t002,0.001,u1,0.046875,0.04296875,6,11,2224.7837972988314,0.04690917632616078,2224.7839076346067,0.004374569748580193,True,0.04179074791970887,2226.534473744899,-0.30156853255452987,True,0.209205335895399,26.77828299461107,0.06283228808206691,16.08506574900913,0.0,0.0,6,0.003944638913777032,0.5049137809634601,1.0098275619269201,0.0,0.99609375,4.089903492729265e-10,0.0,1.1378024581457e-09,True,True,False,False,False,True,True
outputs/hou_early_time_v1,129,256,0.0078125,0.00390625,t002,0.001,cartesian_vorticity_magnitude,0.15625,0.0,20,0,12239.749962354854,0.15856612529795477,12243.090599732173,0.2964640381382111,True,5.95443833129039e-16,12239.749962354854,1.52433621281034e-13,True,0.22723519488042979,29.086104944695013,0.09321136561992777,23.862109598701508,0.10091024525128311,12.916511392164239,20,0.008786629059036082,1.1246885195566185,2.249377039113237,0.078125,0.0859375,2.6356743179261295e-05,0.0,5.496374504422962e-07,False,False,False,False,False,False,False
outputs/hou_early_time_v1,129,256,0.0078125,0.00390625,t003,0.0015,u1,0.0625,0.03125,8,8,3104.752849354722,0.0645996956883421,3107.419022900042,0.26876104810778934,True,0.032637609685176525,3109.7770961107944,0.3552280794051903,True,0.14460638537677048,18.50961732822662,0.05808933363043765,14.87086940939204,0.04127818663854023,5.283607889733149,8,0.003951532694949632,0.5057961849535529,1.0115923699071059,0.015625,0.99609375,1.7289617053207934e-06,0.0,2.3736035731868725e-07,True,True,False,False,False,False,True
outputs/hou_early_time_v1,129,256,0.0078125,0.00390625,t003,0.0015,cartesian_vorticity_magnitude,0.1171875,0.0,15,0,17536.489150481975,0.11971896802126722,17548.681720873512,0.32402790672220405,True,9.007551649009571e-15,17536.489150481975,2.30593322214645e-12,True,0.21660082243513662,27.724905271697487,0.060482901587252655,15.48362280633668,0.07283478497263918,9.322852476497815,15,0.005627149646270538,0.7202751547226288,1.4405503094452576,0.0859375,0.08984375,0.00015335817775586353,0.0625,2.5664806231425565e-07,False,False,False,False,False,False,False
outputs/hou_early_time_v1,129,256,0.0078125,0.00390625,t004,0.002191729,u1,0.0390625,0.98828125,5,253,14742.936697949202,0.035673888961298486,15040.337296576316,-0.4337422129537938,True,0.9889788403458806,14775.295711852395,0.17858312854542646,True,0.043086147436955866,5.515026871930351,0.026130687618577064,6.6894560303557284,0.02624846140869779,3.3598030603133173,5,0.0039022455846230556,0.4994874348317511,0.9989748696635022,0.0859375,0.99609375,0.0007236783469915971,0.0625,7.6151015877542795e-06,False,False,False,False,False,False,False
outputs/hou_early_time_v1,129,256,0.0078125,0.00390625,t004,0.002191729,cartesian_vorticity_magnitude,0.046875,0.0,6,0,95911.01941340044,0.046700553806223066,95916.2692332378,-0.022329112803447515,True,-1.335173291372449e-14,95911.01941340044,-3.4180436259134694e-12,True,0.0478145036599278,6.1202564684707585,0.01954836802329983,5.004382213964757,0.025667163974843657,3.285396988779988,6,0.0028484011548862717,0.3645953478254428,0.7291906956508856,0.0703125,0.98828125,0.048499172962352156,0.1171875,1.0766386437778986e-05,False,False,False,False,False,False,False
outputs/hou_early_time_v1,193,384,0.005208333333333333,0.0026041666666666665,t000,0.0,u1,0.0,0.08333333333333333,0,32,3265.5882935410696,0.0,3265.5882935410696,0.0,False,0.08459495608532548,3266.0041885400897,0.4844631367649833,True,0.19436609319904574,37.31828989421678,0.22933325315172864,88.0639692102638,0.0,0.0,0,0.0052487678463275554,1.0077634264948907,2.0155268529897814,0.09895833333333333,0.005208333333333333,9.115545021450643e-32,0.43229166666666663,4.5534634509702286e-11,True,True,False,False,False,True,True
outputs/hou_early_time_v1,193,384,0.005208333333333333,0.0026041666666666665,t000,0.0,cartesian_vorticity_magnitude,0.16666666666666666,0.0,32,0,7561.484634978418,0.16440980914835557,7562.930741314028,-0.4333166435157292,True,-3.4191399711502868e-15,7561.4846349784175,-1.3129497489217008e-12,True,0.257462293622224,49.43276037546701,0.09040672041459505,34.7161806392045,0.10456160908165064,20.075828943676925,32,0.005247564097464124,1.007532306713112,2.015064613426224,0.0,0.005208333333333333,2.9138897168601367e-06,1.0,3.9531903079526425e-07,False,False,False,False,False,False,False
outputs/hou_early_time_v1,193,384,0.005208333333333333,0.0026041666666666665,t001,0.0005,u1,0.0,0.9557291666666666,0,367,2034.8937585369072,0.0,2034.8937585369072,0.0,False,0.9553759405944461,2035.0156139542173,-0.13563881173268913,True,0.23396641808525984,44.921552272369894,0.3166031521872885,121.57561043991879,0.0,0.0,0,0.005280192190393575,1.0137969005555665,2.027593801111133,0.20833333333333331,0.005208333333333333,1.0913111154879371e-29,0.0,9.825962862518307e-12,True,True,False,False,False,True,True
outputs/hou_early_time_v1,193,384,0.005208333333333333,0.0026041666666666665,t001,0.0005,cartesian_vorticity_magnitude,0.16666666666666666,0.0,32,0,9107.765691451285,0.1668237654358226,9107.776366727792,0.030162963677943466,True,-3.15936513062276e-15,9107.765691451285,-1.2131962101591311e-12,True,0.2389740620281253,45.88301990940006,0.10201089991868031,39.172185568773244,0.10958747134996927,21.0407944991941,32,0.008069784781735841,1.5493986780932816,3.098797356186563,0.0,0.0078125,5.337748326551697e-06,0.0,2.930809078121882e-07,False,False,False,False,False,False,False
outputs/hou_early_time_v1,193,384,0.005208333333333333,0.0026041666666666665,t002,0.001,u1,0.05208333333333333,0.9583333333333333,10,368,2233.3526601604253,0.05005726658783746,2233.8063323618962,-0.38900481513520635,True,0.959029072608091,2233.9853923672363,0.26716388150697223,True,0.21033132011264755,40.38361346162833,0.062412052081703084,23.966227999373984,0.0,0.0,10,0.0026188798309351924,0.502824927539557,1.005649855079114,0.041666666666666664,0.9973958333333333,9.570780421469301e-13,0.0,1.9262825200967857e-10,True,True,False,False,False,True,True
