group,wall_radius,nr,nz,snapshot_index,time,checkpoint,core_max_cartesian_vorticity,core_amplification,core_amplification_denominator,core_argmax_u1_r,core_argmax_u1_z,core_argmax_abs_u1_r,core_argmax_abs_u1_z,core_max_abs_u1,core_max_abs_psi1,core_max_abs_psi1_z,core_energy,tail_max_abs_u1,tail_max_abs_omega1,tail_row_count,global_max_cartesian_vorticity,global_max_abs_u1,global_max_abs_psi1,psi_cross_solver_max_abs_difference,psi_cross_solver_relative_difference,psi_cross_solver_relative_denominator,psi_cross_solver_argmax_r,psi_cross_solver_argmax_z,solver_b_boundary_error_max,solver_b_physical_defect_max
core_dr192,2.0,385,384,0,0.0,checkpoint_core_dr192_R2_t000.npz,7561.484634978418,1.0,7561.484634978418,0.0,0.08333333333333333,0.0,0.08333333333333333,3265.5882935410696,0.0,0.0,4008.105579707901,0.0,0.0,173,7561.484634978418,3265.5882935410696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_dr192,2.0,385,384,1,0.0005,checkpoint_core_dr192_R2_t001.npz,9107.780831453827,1.2044963748682962,7561.484634978418,0.0,0.04427083333333333,0.0,0.04427083333333333,2034.8894680134315,59.843001162747896,1817.3659990831718,4007.1794589658784,2.3822555144814736e-111,0.08360499733729239,173,9107.780831453827,2034.8894680134315,59.843001162747896,0.006297636104491744,0.00010523596714952199,59.843001162747896,0.005208333333333333,0.71875,0.0,62.096039703865245
core_dr192,2.0,385,384,2,0.001,checkpoint_core_dr192_R2_t002.npz,12334.779881993747,1.6312642923235872,7561.484634978418,0.05208333333333333,0.041666666666666664,0.05208333333333333,0.9583333333333333,2233.3317178601696,81.09165648879495,2293.3193525754255,4005.7442041090612,9.698427195571327e-100,0.16307902557438103,173,12334.779881993747,2233.3317178601696,81.09165648879495,0.009598941898678603,0.00011837151088416799,81.09165648879495,0.020833333333333332,0.9036458333333333,0.0,130.00749470404844
core_dr192,2.0,385,384,3,0.0015,checkpoint_core_dr192_R2_t003.npz,17863.674776407937,2.36245600417846,7561.484634978418,0.0625,0.03125,0.0625,0.03125,3149.7850220432283,89.50224436292652,3254.5740098700967,4003.7737966729774,2.743570429960471e-92,0.2387461076295366,173,17863.674776407937,3149.7850220432283,89.50224436292652,0.03622635734150492,0.00040475361930153507,89.50224436292652,0.005208333333333333,0.9661458333333333,0.0,1028.7435078432018
core_dr192,2.0,385,384,4,0.002191729,checkpoint_core_dr192_R2_t004.npz,118189.38062321358,15.630446443874963,7561.484634978418,0.03125,0.010416666666666666,0.03125,0.010416666666666666,18719.97412237165,157.16483451989583,17742.57561049588,3997.6655184197575,8.191361525567908e-85,0.3358549475820183,173,118189.38062321358,18719.97412237165,157.16483451989583,0.7246237036146113,0.00461059693046589,157.16483451989583,0.005208333333333333,0.9817708333333333,0.0,129823.9442920275
core_dr192,3.0,577,384,0,0.0,checkpoint_core_dr192_R3_t000.npz,7561.484634978418,1.0,7561.484634978418,0.0,0.08333333333333333,0.0,0.08333333333333333,3265.5882935410696,0.0,0.0,4008.105579707901,0.0,0.0,365,7561.484634978418,3265.5882935410696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_dr192,3.0,577,384,1,0.0005,checkpoint_core_dr192_R3_t001.npz,9107.780831503524,1.2044963748748685,7561.484634978418,0.0,0.04427083333333333,0.0,0.04427083333333333,2034.8894679993452,59.843001164784326,1817.3659990570166,4007.1794589677893,2.3823360414492376e-111,8.40354019328213e-05,365,9107.780831503524,2034.8894679993452,59.843001164784326,0.006297636105642823,0.00010523596716517585,59.843001164784326,0.005208333333333333,0.28125,0.0,62.09603970020544
core_dr192,3.0,577,384,2,0.001,checkpoint_core_dr192_R3_t002.npz,12334.779882299727,1.6312642923640526,7561.484634978418,0.05208333333333333,0.041666666666666664,0.05208333333333333,0.041666666666666664,2233.3317177914114,81.09165649227891,2293.3193524908943,4005.7442041166228,9.698987041689614e-100,0.00016392129710935186,365,12334.779882299727,2233.3317177914114,81.09165649227891,0.00959894189701771,0.00011837151085860068,81.09165649227891,0.020833333333333332,0.9036458333333333,0.0,130.00749471844028
core_dr192,3.0,577,384,3,0.0015,checkpoint_core_dr192_R3_t003.npz,17863.674777736236,2.3624560043541267,7561.484634978418,0.0625,0.03125,0.0625,0.96875,3149.785021854433,89.50224436718322,3254.574009673175,4003.773796689865,2.743775928335576e-92,0.00023998312822740724,365,17863.674777736236,3149.785021854433,89.50224436718322,0.03622635733626112,0.00040475361922369656,89.50224436718322,0.005208333333333333,0.9661458333333333,0.0,1028.7435081753138
core_dr192,3.0,577,384,4,0.002191729,checkpoint_core_dr192_R3_t004.npz,118189.3806850542,15.630446452053333,7561.484634978418,0.03125,0.010416666666666666,0.03125,0.010416666666666666,18719.974128542308,157.16483449797113,17742.57561550661,3997.665518454968,8.192110138273718e-85,0.0003376027453818805,365,118189.3806850542,18719.974128542308,157.16483449797113,0.724623703654089,0.004610596931360261,157.16483449797113,0.005208333333333333,0.9817708333333333,0.0,129823.94446201576
